0,1,2
-1.8875399,3.9737024,5.2840695
11.300285,11.273459,8.601147
2.9540296,7.384162,9.248109
-1.0436028,4.0229564,5.6828203
-3.3881788,2.2433298,4.90621
-4.943684,2.2736244,6.044926
9.131142,12.452798,7.0482006
-6.4843044,1.7842591,7.063748
-4.0156126,8.756217,4.033372
3.800136,8.487871,7.583903
-1.9723475,7.091131,5.4667044
-1.0287821,6.3276176,5.738343
9.142282,10.054779,6.662338
-0.45950466,4.640941,5.912074
-0.6739683,5.102059,5.2542753
-0.1490206,4.351675,6.5433846
-6.486514,2.293732,5.870448
-6.216011,1.9954675,6.716035
-1.8747282,5.173386,5.7898293
9.388161,11.508713,6.855975
10.87806,10.300858,7.3614388
10.544077,11.111375,9.03201
6.885846,10.830462,6.8558717
8.4938545,11.478208,7.41508
8.034933,9.917011,6.843888
-2.9487407,9.612396,4.9996343
-0.53399163,6.8031797,6.801713
5.715041,9.535932,7.1112766
-3.661233,1.6317315,4.4305954
-1.7103648,7.0264096,6.1036005
9.202921,11.520842,8.007369
7.622047,11.385163,7.89108
-3.0294015,1.4336691,5.410398
2.530008,6.807724,8.2258
9.00649,10.891996,8.107673
8.972329,10.787302,7.6622167
-1.992818,1.4000567,4.435541
1.97755,6.8607874,6.99693
-0.10021179,6.393228,5.785525
8.735787,10.85763,7.3157315
-1.4211147,3.317748,5.2729273
10.71866,9.882479,7.717377
7.400548,11.195156,6.5289965
11.586232,11.675364,8.277402
1.3681715,7.142229,7.8095746
-2.1678197,1.6242349,4.4315753
3.100027,7.062592,7.714365
10.764532,10.587899,8.905689
-4.2395644,8.979184,4.2006607
-2.8457482,4.0797896,5.4754405
8.4361725,11.022851,8.051634
-4.141466,8.953801,4.34289
2.8994207,7.4081454,9.236898
-1.7783421,4.5627317,6.0956106
2.183835,8.157532,9.12637
9.042186,9.887698,7.098146
-4.8310733,2.2045424,5.7856913
8.306152,11.298517,6.672466
1.8452004,6.638738,7.8078923
0.7845704,7.2198696,6.5444927
5.6268034,9.809488,7.2414613
8.694033,11.710941,7.513413
2.3976903,7.080645,8.100878
10.718426,10.670117,7.9019046
8.925508,11.857836,7.6802115
11.709491,10.5461,6.6432843
7.8165784,11.487031,6.524443
-3.1371648,1.1864713,5.1187506
10.292165,11.24943,7.3893604
-0.96300817,6.941523,6.08498
9.619499,9.145023,7.220948
10.165709,9.933448,6.9978957
7.313807,11.245865,8.353697
2.114129,7.2930627,7.5698304
11.687203,11.400983,8.195782
3.107107,7.5932083,6.8298955
2.0122912,8.067689,9.097296
6.917223,10.401036,7.919511
-2.3757033,7.504636,4.722039
-2.2691019,2.0699198,4.879494
-2.2564814,1.4702986,4.469891
8.986967,10.259665,8.180416
-1.5970728,5.104149,5.8990564
1.921648,7.6151304,7.1252565
3.3820293,7.9398584,7.2000895
8.273901,10.711755,6.965872
-1.4593823,7.6196795,6.287979
-0.28495103,4.2136254,6.142714
-2.6129687,7.76847,5.608112
8.214315,10.890012,7.727169
7.0969095,11.00581,6.7164245
-3.0906303,2.9187338,6.4025345
-3.3634496,1.9710983,4.54749
9.803747,10.763513,8.214273
-3.4085727,1.7647115,5.6854563
5.598487,9.993582,7.106672
8.841417,10.7104025,6.311335
-1.7972614,7.247487,4.966141
8.61776,11.377861,7.363194
8.3257475,11.3200445,6.9884553
10.162957,11.38545,7.812491
10.045131,9.826561,8.140601
7.1759768,11.113477,7.226534
4.798892,9.093339,7.305247
11.247971,9.894679,8.049603
7.377299,10.965954,8.370058
8.7323265,11.482961,7.935588
-2.0864232,5.963917,5.595928
9.233896,10.513666,6.967315
-3.4879394,9.070991,4.4861083
2.3149452,7.9239025,7.884687
-2.225292,4.1457734,5.4159913
9.465506,9.582487,6.954459
5.2721643,9.361591,6.9370446
5.4956594,9.950287,6.941967
-3.373227,8.696205,4.44024
9.553983,11.033125,6.8933916
10.691107,11.418655,7.1101527
9.288866,10.732715,7.084555
-0.047046885,6.128641,5.613257
-0.8918242,7.1569576,6.2844324
-1.7347081,4.7339706,5.524412
-4.722265,2.3214154,5.755862
7.6737547,10.997342,8.186436
-3.066977,9.527803,5.1148257
-0.3714766,5.134565,6.6774526
4.102075,8.537513,7.2575316
9.053926,11.848981,7.765369
